,VTY
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-03,
2013-06-04,
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-10,
2013-06-11,
2013-06-12,
2013-06-13,
2013-06-14,
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,
2013-06-21,
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-05,
2013-07-08,
2013-07-09,
2013-07-10,
2013-07-11,
2013-07-12,
2013-07-15,
2013-07-16,
2013-07-17,
2013-07-18,
2013-07-19,
2013-07-22,
2013-07-23,
2013-07-24,
2013-07-25,
2013-07-26,
2013-07-29,
2013-07-30,
2013-07-31,
2013-08-01,
2013-08-02,
2013-08-05,
2013-08-06,
2013-08-07,
2013-08-08,
2013-08-09,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-19,
2013-08-20,
2013-08-21,
2013-08-22,
2013-08-23,
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,
2013-08-30,
2013-09-03,
2013-09-04,
2013-09-05,
2013-09-06,
2013-09-09,
2013-09-10,
2013-09-11,
2013-09-12,
2013-09-13,
2013-09-16,
2013-09-17,
2013-09-18,
2013-09-19,
2013-09-20,
2013-09-23,
2013-09-24,
2013-09-25,
2013-09-26,
2013-09-27,
2013-09-30,
2013-10-01,
2013-10-02,
2013-10-03,
2013-10-04,
2013-10-07,
2013-10-08,
2013-10-09,
2013-10-10,
2013-10-11,
2013-10-14,
2013-10-15,
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-28,
2013-10-29,
2013-10-30,
2013-10-31,
2013-11-01,
2013-11-04,
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-11,
2013-11-12,
2013-11-13,
2013-11-14,
2013-11-15,
2013-11-18,
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-29,
2013-12-02,
2013-12-03,
2013-12-04,
2013-12-05,
2013-12-06,
2013-12-09,
2013-12-10,
2013-12-11,
2013-12-12,
2013-12-13,
2013-12-16,
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-23,
2013-12-24,
2013-12-26,
2013-12-27,
2013-12-30,
2013-12-31,
2014-01-02,
2014-01-03,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-01-31,
2014-02-03,
2014-02-04,
2014-02-05,
2014-02-06,
2014-02-07,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,
2014-02-28,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-07,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-14,
2014-04-15,
2014-04-16,
2014-04-17,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
2014-04-25,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-01,
2014-05-02,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-06-02,
2014-06-03,
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,
2014-06-23,
2014-06-24,
2014-06-25,
2014-06-26,
2014-06-27,
2014-06-30,
2014-07-01,
2014-07-02,
2014-07-03,
2014-07-07,
2014-07-08,
2014-07-09,
2014-07-10,
2014-07-11,
2014-07-14,
2014-07-15,35.064998626708984
2014-07-16,34.8650016784668
2014-07-17,34.790000915527344
2014-07-18,34.04499816894531
2014-07-21,34.505001068115234
2014-07-22,35.018001556396484
2014-07-23,35.45500183105469
2014-07-24,35.040000915527344
2014-07-25,34.724998474121094
2014-07-28,35.15999984741211
2014-07-29,35.08100128173828
2014-07-30,35.5989990234375
2014-07-31,35.37799835205078
2014-08-01,34.68000030517578
2014-08-04,34.483001708984375
2014-08-05,34.415000915527344
2014-08-06,34.61600112915039
2014-08-07,35.0
2014-08-08,35.066001892089844
2014-08-11,35.55500030517578
2014-08-12,35.72999954223633
2014-08-13,35.972999572753906
2014-08-14,35.744998931884766
2014-08-15,36.36899948120117
2014-08-18,36.16600036621094
2014-08-19,37.6349983215332
2014-08-20,37.79999923706055
2014-08-21,37.03499984741211
2014-08-22,37.029998779296875
2014-08-25,37.67900085449219
2014-08-26,37.354000091552734
2014-08-27,37.61899948120117
2014-08-28,37.18000030517578
2014-08-29,37.55500030517578
2014-09-02,37.474998474121094
2014-09-03,38.02000045776367
2014-09-04,38.66999816894531
2014-09-05,40.400001525878906
2014-09-08,41.34000015258789
2014-09-09,43.0
2014-09-10,41.73400115966797
2014-09-11,41.18899917602539
2014-09-12,41.79999923706055
2014-09-15,41.53499984741211
2014-09-16,41.470001220703125
2014-09-17,41.380001068115234
2014-09-18,41.474998474121094
2014-09-19,43.17499923706055
2014-09-22,42.80500030517578
2014-09-23,41.31100082397461
2014-09-24,41.90999984741211
2014-09-25,42.66999816894531
2014-09-26,41.85499954223633
2014-09-29,43.029998779296875
2014-09-30,43.959999084472656
2014-10-01,43.959999084472656
2014-10-02,42.50699996948242
2014-10-03,42.50699996948242
2014-10-06,44.44900131225586
2014-10-07,44.849998474121094
2014-10-08,44.0099983215332
2014-10-09,43.915000915527344
2014-10-10,41.400001525878906
2014-10-13,40.68000030517578
2014-10-14,40.8849983215332
2014-10-15,41.599998474121094
2014-10-16,41.435001373291016
2014-10-17,41.040000915527344
2014-10-20,40.61000061035156
2014-10-21,41.73500061035156
2014-10-22,42.3849983215332
2014-10-23,41.5
2014-10-24,42.08000183105469
2014-10-27,42.14500045776367
2014-10-28,42.29499816894531
2014-10-29,42.689998626708984
2014-10-30,43.48500061035156
2014-10-31,44.18000030517578
2014-11-03,45.130001068115234
2014-11-04,45.154998779296875
2014-11-05,45.05500030517578
2014-11-06,45.974998474121094
2014-11-07,47.345001220703125
2014-11-10,47.345001220703125
2014-11-11,47.52000045776367
2014-11-12,47.52000045776367
2014-11-13,47.529998779296875
2014-11-14,47.41999816894531
2014-11-17,46.775001525878906
2014-11-18,46.89500045776367
2014-11-19,46.89500045776367
2014-11-20,45.76599884033203
2014-11-21,46.90999984741211
2014-11-24,47.255001068115234
2014-11-25,47.619998931884766
2014-11-26,47.80500030517578
2014-11-28,48.220001220703125
2014-12-01,47.465999603271484
2014-12-02,48.3849983215332
2014-12-03,48.79999923706055
2014-12-04,48.099998474121094
2014-12-05,48.099998474121094
2014-12-08,48.19499969482422
2014-12-09,46.362998962402344
2014-12-10,47.56999969482422
2014-12-11,46.474998474121094
2014-12-12,46.474998474121094
2014-12-15,46.1349983215332
2014-12-16,45.79499816894531
2014-12-17,45.14500045776367
2014-12-18,46.6510009765625
2014-12-19,47.55500030517578
2014-12-22,47.81999969482422
2014-12-23,48.32500076293945
2014-12-24,48.26499938964844
2014-12-26,48.26499938964844
2014-12-29,48.665000915527344
2014-12-30,48.59000015258789
2014-12-31,48.59000015258789
2015-01-02,48.59000015258789
2015-01-05,48.02799987792969
2015-01-06,48.165000915527344
2015-01-07,48.025001525878906
2015-01-08,48.025001525878906
2015-01-09,48.2599983215332
2015-01-12,47.78499984741211
2015-01-13,47.369998931884766
2015-01-14,46.1349983215332
2015-01-15,47.20000076293945
2015-01-16,46.46500015258789
2015-01-20,47.349998474121094
2015-01-21,47.7400016784668
2015-01-22,47.82500076293945
2015-01-23,49.625
2015-01-26,49.810001373291016
2015-01-27,49.685001373291016
2015-01-28,48.915000915527344
2015-01-29,48.470001220703125
2015-01-30,47.41999816894531
2015-02-02,47.41999816894531
2015-02-03,47.41999816894531
2015-02-04,47.38999938964844
2015-02-05,48.334999084472656
2015-02-06,48.69499969482422
2015-02-09,48.69499969482422
2015-02-10,48.69499969482422
2015-02-11,48.7599983215332
2015-02-12,48.7599983215332
2015-02-13,48.20800018310547
2015-02-17,48.709999084472656
2015-02-18,49.404998779296875
2015-02-19,50.130001068115234
2015-02-20,50.72999954223633
2015-02-23,51.02000045776367
2015-02-24,51.77000045776367
2015-02-25,51.849998474121094
2015-02-26,52.880001068115234
2015-02-27,52.56999969482422
2015-03-02,54.349998474121094
2015-03-03,54.529998779296875
2015-03-04,53.97999954223633
2015-03-05,53.97999954223633
2015-03-06,54.040000915527344
2015-03-09,54.75
2015-03-10,55.18000030517578
2015-03-11,54.86000061035156
2015-03-12,54.86000061035156
2015-03-13,55.38999938964844
2015-03-16,56.099998474121094
2015-03-17,56.4900016784668
2015-03-18,56.4900016784668
2015-03-19,56.689998626708984
2015-03-20,57.68000030517578
2015-03-23,56.77000045776367
2015-03-24,55.65999984741211
2015-03-25,53.16999816894531
2015-03-26,51.400001525878906
2015-03-27,56.150001525878906
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-06,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,58.56399917602539
2015-04-16,59.43000030517578
2015-04-17,59.75
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-01,
2015-05-04,55.08000183105469
2015-05-05,55.810001373291016
2015-05-06,54.25
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,57.45000076293945
2015-05-21,
2015-05-22,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-22,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-06,53.90999984741211
2015-07-07,54.15999984741211
2015-07-08,52.91999816894531
2015-07-09,54.0
2015-07-10,53.709999084472656
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-27,53.869998931884766
2015-07-28,51.65999984741211
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-24,
2015-08-25,
2015-08-26,
2015-08-27,
2015-08-28,
2015-08-31,
2015-09-01,
2015-09-02,
2015-09-03,
2015-09-04,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,
2015-09-14,41.119998931884766
2015-09-15,41.119998931884766
2015-09-16,40.89500045776367
2015-09-17,41.44499969482422
2015-09-18,40.04999923706055
2015-09-21,40.34000015258789
2015-09-22,40.34000015258789
2015-09-23,39.86000061035156
2015-09-24,
2015-09-25,
2015-09-28,
2015-09-29,
2015-09-30,
2015-10-01,
2015-10-02,
2015-10-05,
2015-10-06,
2015-10-07,
2015-10-08,
2015-10-09,
2015-10-12,
2015-10-13,
2015-10-14,
2015-10-15,
2015-10-16,38.70000076293945
2015-10-19,39.584999084472656
2015-10-20,39.47999954223633
2015-10-21,40.119998931884766
2015-10-22,40.369998931884766
2015-10-23,41.56999969482422
2015-10-26,41.46500015258789
2015-10-27,42.209999084472656
2015-10-28,42.30500030517578
2015-10-29,
2015-10-30,
2015-11-02,
2015-11-03,
2015-11-04,
2015-11-05,
2015-11-06,
2015-11-09,43.619998931884766
2015-11-10,44.05799865722656
2015-11-11,44.51499938964844
2015-11-12,43.415000915527344
2015-11-13,42.78499984741211
2015-11-16,41.56999969482422
2015-11-17,43.29999923706055
2015-11-18,43.849998474121094
2015-11-19,44.90999984741211
2015-11-20,45.3650016784668
2015-11-23,
2015-11-24,
2015-11-25,
2015-11-27,
2015-11-30,
2015-12-01,
2015-12-02,
2015-12-03,42.0
2015-12-04,37.15999984741211
2015-12-07,37.15999984741211
2015-12-08,37.15999984741211
2015-12-09,37.15999984741211
2015-12-10,37.15999984741211
2015-12-11,37.15999984741211
2015-12-14,36.05500030517578
2015-12-15,35.5099983215332
2015-12-16,36.29999923706055
2015-12-17,37.25
2015-12-18,37.165000915527344
2015-12-21,37.415000915527344
2015-12-22,36.31999969482422
2015-12-23,36.30500030517578
2015-12-24,37.2599983215332
2015-12-28,37.02399826049805
2015-12-29,37.47999954223633
2015-12-30,
2015-12-31,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-11,35.722999572753906
2016-01-12,36.13800048828125
2016-01-13,36.165000915527344
2016-01-14,35.30500030517578
2016-01-15,35.29499816894531
2016-01-19,34.09700012207031
2016-01-20,32.619998931884766
2016-01-21,33.130001068115234
2016-01-22,34.6150016784668
2016-01-25,34.13999938964844
2016-01-26,32.68000030517578
2016-01-27,
2016-01-28,32.93000030517578
2016-01-29,32.625
2016-02-01,33.8650016784668
2016-02-02,33.869998931884766
2016-02-03,33.13999938964844
2016-02-04,32.779998779296875
2016-02-05,30.31999969482422
2016-02-08,29.038999557495117
2016-02-09,29.094999313354492
2016-02-10,28.34000015258789
2016-02-11,28.389999389648438
2016-02-12,27.31999969482422
2016-02-16,27.889999389648438
2016-02-17,27.9950008392334
2016-02-18,28.059999465942383
2016-02-19,28.738000869750977
2016-02-22,31.266000747680664
2016-02-23,30.90399932861328
2016-02-24,30.141000747680664
2016-02-25,31.18199920654297
2016-02-26,
2016-02-29,32.099998474121094
2016-03-01,
2016-03-02,33.72700119018555
2016-03-03,34.06100082397461
2016-03-04,34.685001373291016
2016-03-07,
2016-03-08,
2016-03-09,
2016-03-10,
2016-03-11,
2016-03-14,
2016-03-15,
2016-03-16,
2016-03-17,
2016-03-18,30.479000091552734
2016-03-21,31.195999145507812
2016-03-22,30.695999145507812
2016-03-23,31.71500015258789
2016-03-24,
2016-03-28,
2016-03-29,
2016-03-30,
2016-03-31,
2016-04-01,
2016-04-04,30.06999969482422
2016-04-05,29.485000610351562
2016-04-06,29.354999542236328
2016-04-07,29.795000076293945
2016-04-08,30.145000457763672
2016-04-11,30.024999618530273
2016-04-12,30.274999618530273
2016-04-13,30.270000457763672
2016-04-14,31.290000915527344
2016-04-15,31.649999618530273
2016-04-18,31.2450008392334
2016-04-19,30.722000122070312
2016-04-20,31.28499984741211
2016-04-21,31.485000610351562
2016-04-22,31.260000228881836
2016-04-25,31.204999923706055
2016-04-26,30.170000076293945
2016-04-27,30.684999465942383
2016-04-28,30.415000915527344
2016-04-29,30.415000915527344
2016-05-02,29.90999984741211
2016-05-03,29.90999984741211
2016-05-04,29.325000762939453
2016-05-05,29.325000762939453
2016-05-06,29.325000762939453
2016-05-09,29.100000381469727
2016-05-10,29.100000381469727
2016-05-11,29.100000381469727
2016-05-12,29.100000381469727
2016-05-13,28.774999618530273
2016-05-16,
2016-05-17,
2016-05-18,
2016-05-19,
2016-05-20,
2016-05-23,
2016-05-24,
2016-05-25,
2016-05-26,29.60700035095215
2016-05-27,29.148000717163086
2016-05-31,29.51799964904785
2016-06-01,29.729999542236328
2016-06-02,29.729999542236328
2016-06-03,30.139999389648438
2016-06-06,30.03499984741211
2016-06-07,30.03499984741211
2016-06-08,30.389999389648438
2016-06-09,31.760000228881836
2016-06-10,32.314998626708984
2016-06-13,32.314998626708984
2016-06-14,32.11000061035156
2016-06-15,32.095001220703125
2016-06-16,31.579999923706055
2016-06-17,31.075000762939453
2016-06-20,31.0
2016-06-21,31.0
2016-06-22,31.0
2016-06-23,30.989999771118164
2016-06-24,29.954999923706055
2016-06-27,29.695999145507812
2016-06-28,29.027000427246094
2016-06-29,
2016-06-30,
2016-07-01,
2016-07-05,
2016-07-06,
2016-07-07,
2016-07-08,
2016-07-11,
2016-07-12,
2016-07-13,
2016-07-14,
2016-07-15,
2016-07-18,
2016-07-19,
2016-07-20,30.395000457763672
2016-07-21,30.5049991607666
2016-07-22,30.639999389648438
2016-07-25,
2016-07-26,
2016-07-27,
2016-07-28,
2016-07-29,6.289999961853027
2016-08-01,6.429999828338623
2016-08-02,6.739999771118164
2016-08-03,30.475000381469727
2016-08-04,6.574999809265137
2016-08-05,6.599999904632568
2016-08-08,6.505000114440918
2016-08-09,6.195000171661377
2016-08-10,6.195000171661377
2016-08-11,6.195000171661377
2016-08-12,6.300000190734863
2016-08-15,6.300000190734863
2016-08-16,6.315000057220459
2016-08-17,6.429999828338623
2016-08-18,6.409999847412109
2016-08-19,6.579999923706055
2016-08-22,29.985000610351562
2016-08-23,29.5
2016-08-24,29.764999389648438
2016-08-25,29.639999389648438
2016-08-26,29.235000610351562
2016-08-29,29.670000076293945
2016-08-30,29.799999237060547
2016-08-31,30.485000610351562
2016-09-01,30.0049991607666
2016-09-02,30.735000610351562
2016-09-06,31.43000030517578
2016-09-07,30.6200008392334
2016-09-08,30.639999389648438
2016-09-09,33.1150016784668
2016-09-12,32.69499969482422
2016-09-13,33.0
2016-09-14,32.650001525878906
2016-09-15,32.375
2016-09-16,32.68000030517578
2016-09-19,32.334999084472656
2016-09-20,32.255001068115234
2016-09-21,32.724998474121094
2016-09-22,33.255001068115234
2016-09-23,33.529998779296875
2016-09-26,33.6349983215332
2016-09-27,32.6150016784668
2016-09-28,32.97999954223633
2016-09-29,32.85499954223633
2016-09-30,32.80500030517578
2016-10-03,33.20000076293945
2016-10-04,32.59000015258789
2016-10-05,32.34000015258789
2016-10-06,32.51499938964844
2016-10-07,32.439998626708984
2016-10-10,31.975000381469727
2016-10-11,32.224998474121094
2016-10-12,31.90999984741211
2016-10-13,31.434999465942383
2016-10-14,31.43000030517578
2016-10-17,31.604999542236328
2016-10-18,32.189998626708984
2016-10-19,32.07500076293945
2016-10-20,32.69499969482422
2016-10-21,32.79499816894531
2016-10-24,33.03499984741211
2016-10-25,32.974998474121094
2016-10-26,32.47999954223633
2016-10-27,32.47999954223633
2016-10-28,32.404998779296875
2016-10-31,32.540000915527344
2016-11-01,32.095001220703125
2016-11-02,32.224998474121094
2016-11-03,32.32500076293945
2016-11-04,31.989999771118164
2016-11-07,32.310001373291016
2016-11-08,32.334999084472656
2016-11-09,31.424999237060547
2016-11-10,33.834999084472656
2016-11-11,34.08000183105469
2016-11-14,34.595001220703125
2016-11-15,34.17499923706055
2016-11-16,34.154998779296875
2016-11-17,34.244998931884766
2016-11-18,34.3650016784668
2016-11-21,34.3849983215332
2016-11-22,34.60499954223633
2016-11-23,35.67499923706055
2016-11-25,35.78499984741211
2016-11-28,35.494998931884766
2016-11-29,35.58000183105469
2016-11-30,35.255001068115234
2016-12-01,34.7400016784668
2016-12-02,33.6349983215332
2016-12-05,34.060001373291016
2016-12-06,34.564998626708984
2016-12-07,34.97999954223633
2016-12-08,29.700000762939453
2016-12-09,31.21500015258789
2016-12-12,32.96500015258789
2016-12-13,32.81999969482422
2016-12-14,33.189998626708984
2016-12-15,33.189998626708984
2016-12-16,33.189998626708984
2016-12-19,33.68000030517578
2016-12-20,34.494998931884766
2016-12-21,34.494998931884766
2016-12-22,33.185001373291016
2016-12-23,33.91999816894531
2016-12-27,33.07500076293945
2016-12-28,33.91999816894531
2016-12-29,33.095001220703125
2016-12-30,33.91999816894531
2017-01-03,33.665000915527344
2017-01-04,34.45000076293945
2017-01-05,34.45000076293945
2017-01-06,34.45000076293945
2017-01-09,34.45000076293945
2017-01-10,34.45000076293945
2017-01-11,34.73500061035156
2017-01-12,
2017-01-13,
2017-01-17,
2017-01-18,
2017-01-19,
2017-01-20,
2017-01-23,34.9900016784668
2017-01-24,34.9900016784668
2017-01-25,34.150001525878906
2017-01-26,34.9900016784668
2017-01-27,34.9900016784668
2017-01-30,34.79999923706055
2017-01-31,34.70500183105469
2017-02-01,34.70500183105469
2017-02-02,34.619998931884766
2017-02-03,34.619998931884766
2017-02-06,34.619998931884766
2017-02-07,34.52000045776367
2017-02-08,34.47999954223633
2017-02-09,34.45500183105469
2017-02-10,34.45500183105469
2017-02-13,
2017-02-14,
2017-02-15,
2017-02-16,
2017-02-17,
2017-02-21,
2017-02-22,
2017-02-23,
2017-02-24,
2017-02-27,
2017-02-28,
2017-03-01,
2017-03-02,
2017-03-03,
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,36.040000915527344
2017-03-13,36.38999938964844
2017-03-14,
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,
2017-04-17,
2017-04-18,
2017-04-19,
2017-04-20,
2017-04-21,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,
2017-05-08,
2017-05-09,
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,
2017-05-26,
2017-05-30,
2017-05-31,
2017-06-01,
2017-06-02,
2017-06-05,
2017-06-06,
2017-06-07,
2017-06-08,
2017-06-09,
2017-06-12,
2017-06-13,
2017-06-14,
2017-06-15,
2017-06-16,
2017-06-19,
2017-06-20,
2017-06-21,
2017-06-22,
2017-06-23,
2017-06-26,
2017-06-27,
2017-06-28,
2017-06-29,
2017-06-30,
2017-07-03,
2017-07-05,
2017-07-06,
2017-07-07,
2017-07-10,
2017-07-11,
2017-07-12,
2017-07-13,
2017-07-14,
2017-07-17,
2017-07-18,
2017-07-19,
2017-07-20,
2017-07-21,
2017-07-24,
2017-07-25,
2017-07-26,
2017-07-27,
2017-07-28,
2017-07-31,
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,
2017-09-05,
2017-09-06,
2017-09-07,
2017-09-08,
2017-09-11,
2017-09-12,
2017-09-13,
2017-09-14,
2017-09-15,
2017-09-18,
2017-09-19,
2017-09-20,
2017-09-21,
2017-09-22,
2017-09-25,
2017-09-26,
2017-09-27,
2017-09-28,
2017-09-29,
2017-10-02,
2017-10-03,
2017-10-04,
2017-10-05,
2017-10-06,
2017-10-09,
2017-10-10,
2017-10-11,
2017-10-12,
2017-10-13,
2017-10-16,
2017-10-17,
2017-10-18,
2017-10-19,
2017-10-20,
2017-10-23,
2017-10-24,
2017-10-25,
2017-10-26,
2017-10-27,
2017-10-30,
2017-10-31,
2017-11-01,
2017-11-02,
2017-11-03,
2017-11-06,
2017-11-07,
2017-11-08,
2017-11-09,
2017-11-10,
2017-11-13,
2017-11-14,
2017-11-15,
2017-11-16,
2017-11-17,
2017-11-20,
2017-11-21,
2017-11-22,
2017-11-24,
2017-11-27,
2017-11-28,
2017-11-29,
2017-11-30,
2017-12-01,
2017-12-04,
2017-12-05,
2017-12-06,
2017-12-07,
2017-12-08,
2017-12-11,
2017-12-12,
2017-12-13,
2017-12-14,
2017-12-15,
2017-12-18,
2017-12-19,
2017-12-20,
2017-12-21,
2017-12-22,
2017-12-26,
2017-12-27,
2017-12-28,
2017-12-29,
2018-01-02,7.954999923706055
2018-01-03,8.359999656677246
2018-01-04,8.619999885559082
2018-01-05,8.460000038146973
2018-01-08,8.739999771118164
2018-01-09,8.779999732971191
2018-01-10,8.600000381469727
2018-01-11,8.680000305175781
2018-01-12,8.65999984741211
2018-01-16,8.260000228881836
2018-01-17,8.140000343322754
2018-01-18,8.119999885559082
2018-01-19,8.260000228881836
2018-01-22,8.300000190734863
2018-01-23,8.319999694824219
2018-01-24,8.199999809265137
2018-01-25,8.199999809265137
2018-01-26,8.220000267028809
2018-01-29,8.199999809265137
2018-01-30,8.279999732971191
2018-01-31,8.220000267028809
2018-02-01,8.180000305175781
2018-02-02,8.180000305175781
2018-02-05,8.0600004196167
2018-02-06,7.659999847412109
2018-02-07,7.920000076293945
2018-02-08,7.880000114440918
2018-02-09,7.820000171661377
2018-02-12,7.940000057220459
2018-02-13,7.880000114440918
2018-02-14,7.860000133514404
2018-02-15,7.860000133514404
2018-02-16,7.78000020980835
2018-02-20,7.739999771118164
2018-02-21,7.71999979019165
2018-02-22,7.659999847412109
2018-02-23,7.699999809265137
2018-02-26,7.860000133514404
2018-02-27,7.960000038146973
2018-02-28,7.920000076293945
2018-03-01,
2018-03-02,
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-12,
2018-03-13,
2018-03-14,
2018-03-15,
2018-03-16,
2018-03-19,
2018-03-20,
2018-03-21,
2018-03-22,
2018-03-23,
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-05,
2018-04-06,
2018-04-09,
2018-04-10,
2018-04-11,
2018-04-12,
2018-04-13,
2018-04-16,
2018-04-17,
2018-04-18,
2018-04-19,
2018-04-20,
2018-04-23,
2018-04-24,
2018-04-25,
2018-04-26,
2018-04-27,
2018-04-30,
2018-05-01,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-25,
2018-05-29,
2018-05-30,
2018-05-31,
2018-06-01,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-25,
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,
2018-07-05,
2018-07-06,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-16,
2018-07-17,
2018-07-18,
2018-07-19,
2018-07-20,
2018-07-23,
2018-07-24,
2018-07-25,
2018-07-26,
2018-07-27,
2018-07-30,
2018-07-31,
2018-08-01,
2018-08-02,
2018-08-03,
